ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,,,
10671315,198677,0,None,-186,2,Human,5.0,pEC50,=,5,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,451,8,1,5,4.6,FC(F)(Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(OCc2ccccc2)CC1,10.1021/jm981133m,,
CHEMBL63258,198677,0,None,-186,2,Human,5.0,pEC50,=,5,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,451,8,1,5,4.6,FC(F)(Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(OCc2ccccc2)CC1,10.1021/jm981133m,,
18975369,100469,0,None,-120,2,Human,6.9,pEC50,=,6.9,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,399,7,1,4,4.6,c1ccc(CC2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm981133m,,
CHEMBL294547,100469,0,None,-120,2,Human,6.9,pEC50,=,6.9,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,399,7,1,4,4.6,c1ccc(CC2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm981133m,,
4806,3917,83,None,1,3,Human,6.9,pEC50,=,6.9,Functional,Partialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbindingPartialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbinding,ChEMBL,298,3,1,3,3.9,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1,10.1021/jm101459g,,
7351,3917,83,None,1,3,Human,6.9,pEC50,=,6.9,Functional,Partialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbindingPartialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbinding,ChEMBL,298,3,1,3,3.9,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1,10.1021/jm101459g,,
9966051,3917,83,None,1,3,Human,6.9,pEC50,=,6.9,Functional,Partialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbindingPartialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbinding,ChEMBL,298,3,1,3,3.9,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1,10.1021/jm101459g,,
CHEMBL2104993,3917,83,None,1,3,Human,6.9,pEC50,=,6.9,Functional,Partialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbindingPartialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbinding,ChEMBL,298,3,1,3,3.9,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1,10.1021/jm101459g,,
DB09068,3917,83,None,1,3,Human,6.9,pEC50,=,6.9,Functional,Partialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbindingPartialagonistactivityathuman5HT1BreceptorexpressedinCHOcellsassessedas[35S]GTPgammaSbinding,ChEMBL,298,3,1,3,3.9,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1,10.1021/jm101459g,,
11796806,102150,0,None,-169,2,Human,5.9,pEC50,=,5.9,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,428,8,1,5,4.3,CN(Cc1ccccc1)C1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm981133m,,
CHEMBL304857,102150,0,None,-169,2,Human,5.9,pEC50,=,5.9,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,428,8,1,5,4.3,CN(Cc1ccccc1)C1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm981133m,,
2869,4057,81,None,-3,2,Human,7.8,pEC50,=,7.8,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,287,5,2,3,1.9,CN(CCc1c[nH]c2c1cc(C[C@H]1COC(=O)N1)cc2)C,10.1016/s0960-894x(98)00090-0,,
60,4057,81,None,-3,2,Human,7.8,pEC50,=,7.8,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,287,5,2,3,1.9,CN(CCc1c[nH]c2c1cc(C[C@H]1COC(=O)N1)cc2)C,10.1016/s0960-894x(98)00090-0,,
60857,4057,81,None,-3,2,Human,7.8,pEC50,=,7.8,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,287,5,2,3,1.9,CN(CCc1c[nH]c2c1cc(C[C@H]1COC(=O)N1)cc2)C,10.1016/s0960-894x(98)00090-0,,
CHEMBL1185,4057,81,None,-3,2,Human,7.8,pEC50,=,7.8,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,287,5,2,3,1.9,CN(CCc1c[nH]c2c1cc(C[C@H]1COC(=O)N1)cc2)C,10.1016/s0960-894x(98)00090-0,,
DB00315,4057,81,None,-3,2,Human,7.8,pEC50,=,7.8,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,287,5,2,3,1.9,CN(CCc1c[nH]c2c1cc(C[C@H]1COC(=O)N1)cc2)C,10.1016/s0960-894x(98)00090-0,,
44592371,178255,0,None,-,1,Human,7.8,pEC50,=,7.8,Functional,Agonistactivityathuman5HT1BassessedasGTPgammaSbindingbyscintillationproximityassayAgonistactivityathuman5HT1BassessedasGTPgammaSbindingbyscintillationproximityassay,ChEMBL,416,5,1,5,3.6,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1,10.1016/j.bmcl.2009.02.056,,
CHEMBL470849,178255,0,None,-,1,Human,7.8,pEC50,=,7.8,Functional,Agonistactivityathuman5HT1BassessedasGTPgammaSbindingbyscintillationproximityassayAgonistactivityathuman5HT1BassessedasGTPgammaSbindingbyscintillationproximityassay,ChEMBL,416,5,1,5,3.6,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1,10.1016/j.bmcl.2009.02.056,,
10766570,199043,0,None,-501,2,Human,5.8,pEC50,=,5.8,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,464,8,1,5,4.2,CC(CN1CCN(CC(F)Cc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1cccc(F)c1,10.1021/jm981133m,,
CHEMBL65321,199043,0,None,-501,2,Human,5.8,pEC50,=,5.8,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,464,8,1,5,4.2,CC(CN1CCN(CC(F)Cc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1cccc(F)c1,10.1021/jm981133m,,
10600213,198773,0,None,-575,2,Human,5.8,pEC50,=,5.8,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,464,8,1,5,4.2,CC(CN1CCN(CC(F)Cc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccc(F)cc1,10.1021/jm981133m,,
CHEMBL64004,198773,0,None,-575,2,Human,5.8,pEC50,=,5.8,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1BreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Breceptor",ChEMBL,464,8,1,5,4.2,CC(CN1CCN(CC(F)Cc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccc(F)cc1,10.1021/jm981133m,,
145975946,163222,0,None,-,1,Human,6.8,pEC50,=,6.8,Functional,Partialagonistactivityat5-HT1Breceptor(unknownorigin)byTangoassayPartialagonistactivityat5-HT1Breceptor(unknownorigin)byTangoassay,ChEMBL,307,8,1,4,3.9,CCCCCCOc1ccc(C2=N[C@@H](CO)[C@H](C)S2)cc1,10.1021/acs.jnatprod.7b00317,,
CHEMBL4207355,163222,0,None,-,1,Human,6.8,pEC50,=,6.8,Functional,Partialagonistactivityat5-HT1Breceptor(unknownorigin)byTangoassayPartialagonistactivityat5-HT1Breceptor(unknownorigin)byTangoassay,ChEMBL,307,8,1,4,3.9,CCCCCCOc1ccc(C2=N[C@@H](CO)[C@H](C)S2)cc1,10.1021/acs.jnatprod.7b00317,,
24762221,19088,0,None,-39,2,Human,6.7,pEC50,=,6.7,Functional,Agonistactivityathuman5-HT1BreceptorexpressedinCHOcellsassessedasstimulationofGTPgammaSbindingbyscintillationproximityassayAgonistactivityathuman5-HT1BreceptorexpressedinCHOcellsassessedasstimulationofGTPgammaSbindingbyscintillationproximityassay,ChEMBL,414,4,1,4,4.1,Cc1ccc2c(N3CCN(CCc4c(C)ccc5c4CCC(=O)N5)CC3)cccc2n1,10.1016/j.bmcl.2010.09.085,,
CHEMBL1290596,19088,0,None,-39,2,Human,6.7,pEC50,=,6.7,Functional,Agonistactivityathuman5-HT1BreceptorexpressedinCHOcellsassessedasstimulationofGTPgammaSbindingbyscintillationproximityassayAgonistactivityathuman5-HT1BreceptorexpressedinCHOcellsassessedasstimulationofGTPgammaSbindingbyscintillationproximityassay,ChEMBL,414,4,1,4,4.1,Cc1ccc2c(N3CCN(CCc4c(C)ccc5c4CCC(=O)N5)CC3)cccc2n1,10.1016/j.bmcl.2010.09.085,,
11797999,40245,0,None,-,1,Human,8.7,pEC50,=,8.7,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,454,10,4,4,4.8,NCCc1c[nH]c2ccc(OCc3ccccc3COc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
CHEMBL148314,40245,0,None,-,1,Human,8.7,pEC50,=,8.7,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,454,10,4,4,4.8,NCCc1c[nH]c2ccc(OCc3ccccc3COc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
10385855,14272,0,None,-3,3,Human,8.7,pEC50,=,8.7,Functional,Thecompoundwasevaluatedforintrinsicactivityagainsthumancloned5-hydroxytryptamine1Breceptor,fullagonistThecompoundwasevaluatedforintrinsicactivityagainsthumancloned5-hydroxytryptamine1Breceptor,fullagonist,ChEMBL,392,6,2,4,2.7,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,10.1016/S0960-894X(97)10164-0
